epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3262,1.58792,1.98,0.8977,0.92913,0.72798,0.84056,0.51158,1.31762,1.51526,0.83963,0.000654545,0.000654545,0.000654545
2,62.5438,1.56262,1.05253,0.86386,0.84683,0.80526,0.81268,0.47957,1.35912,1.02211,0.88272,0.00129505,0.00129505,0.00129505
3,111.298,1.49807,0.944,0.8807,0.90913,0.81917,0.86506,0.52416,1.33941,0.89322,0.88457,0.00190916,0.00190916,0.00190916
4,150.258,1.49771,0.92769,0.88294,0.86663,0.8135,0.83455,0.48967,1.35662,0.84799,0.86221,0.0018812,0.0018812,0.0018812
5,188.519,1.52663,0.92269,0.87969,0.8883,0.80989,0.8319,0.49101,1.32295,0.87931,0.85913,0.0018416,0.0018416,0.0018416
6,226.471,1.50403,0.88566,0.86868,0.94174,0.82441,0.87811,0.5258,1.30288,0.80127,0.83641,0.001802,0.001802,0.001802
7,264.509,1.39514,0.89631,0.86795,0.89401,0.82844,0.84413,0.53548,1.23968,0.844,0.83277,0.0017624,0.0017624,0.0017624
8,302.551,1.36908,0.85365,0.86108,0.91434,0.8084,0.84383,0.56726,1.14117,0.76768,0.83503,0.0017228,0.0017228,0.0017228
9,345.651,1.30903,0.78489,0.85936,0.92565,0.83308,0.87413,0.52172,1.37147,0.7729,0.8474,0.0016832,0.0016832,0.0016832
10,466.43,1.41358,0.79264,0.86097,0.93145,0.84004,0.88268,0.58602,1.13508,0.70285,0.83257,0.0016436,0.0016436,0.0016436
11,568.988,1.27983,0.79006,0.8531,0.91865,0.83776,0.86939,0.59416,1.12446,0.71538,0.82987,0.001604,0.001604,0.001604
12,672.613,1.31593,0.77141,0.84934,0.9119,0.83186,0.85737,0.58632,1.08494,0.71494,0.82785,0.0015644,0.0015644,0.0015644
13,790.489,1.21776,0.71743,0.8377,0.92825,0.8398,0.87631,0.60936,1.04583,0.68185,0.82263,0.0015248,0.0015248,0.0015248
14,897.462,1.21567,0.72901,0.85018,0.93009,0.83771,0.86917,0.61084,1.04877,0.68395,0.81994,0.0014852,0.0014852,0.0014852
15,1000.53,1.19349,0.70434,0.84472,0.93825,0.8408,0.88909,0.62849,1.02031,0.6713,0.81675,0.0014456,0.0014456,0.0014456
16,1102.99,1.18302,0.715,0.84563,0.92872,0.84235,0.87594,0.62293,1.01296,0.64471,0.81591,0.001406,0.001406,0.001406
17,1202.9,1.12729,0.67341,0.84215,0.95201,0.8278,0.8898,0.63625,0.99828,0.63324,0.81216,0.0013664,0.0013664,0.0013664
18,1299.32,1.25193,0.69827,0.83533,0.94123,0.8408,0.87718,0.59323,1.12343,0.6552,0.82035,0.0013268,0.0013268,0.0013268
19,1346.3,1.18404,0.69183,0.84449,0.93168,0.84311,0.88541,0.63957,1.01147,0.62444,0.81395,0.0012872,0.0012872,0.0012872
20,1385.86,1.21215,0.67697,0.8311,0.92279,0.84973,0.88465,0.62202,1.04485,0.6168,0.81388,0.0012476,0.0012476,0.0012476
21,1426.11,1.23491,0.67466,0.82706,0.94032,0.8523,0.87966,0.60888,1.06865,0.61448,0.82089,0.001208,0.001208,0.001208
22,1464.62,1.1831,0.66223,0.82926,0.93482,0.84389,0.89099,0.6289,0.98706,0.60375,0.81163,0.0011684,0.0011684,0.0011684
23,1503.32,1.13892,0.64252,0.82912,0.92885,0.85162,0.88232,0.64118,0.96233,0.57628,0.81529,0.0011288,0.0011288,0.0011288
24,1542.43,1.13978,0.63669,0.82918,0.94789,0.84235,0.88223,0.63714,0.99871,0.58658,0.81291,0.0010892,0.0010892,0.0010892
25,1581.56,1.10533,0.62655,0.82527,0.91634,0.85317,0.88215,0.63265,0.97942,0.57975,0.80597,0.0010496,0.0010496,0.0010496
26,1620.76,1.11425,0.63018,0.82841,0.94161,0.83926,0.88305,0.64554,0.93606,0.57416,0.809,0.00101,0.00101,0.00101
27,1658.96,1.08808,0.62128,0.8236,0.9454,0.85646,0.89502,0.65295,0.95225,0.5748,0.81081,0.0009704,0.0009704,0.0009704
28,1697.72,1.13437,0.64057,0.82746,0.94036,0.85288,0.88855,0.64407,0.95881,0.58718,0.82051,0.0009308,0.0009308,0.0009308
29,1735.76,1.09035,0.61453,0.82566,0.95419,0.85162,0.89434,0.6622,0.9407,0.56287,0.80424,0.0008912,0.0008912,0.0008912
30,1774.06,1.0962,0.61885,0.8248,0.94363,0.85381,0.89632,0.65452,0.95052,0.57115,0.80681,0.0008516,0.0008516,0.0008516
31,1812.47,1.10479,0.62292,0.82092,0.9447,0.84853,0.89348,0.65461,0.94025,0.56027,0.80329,0.000812,0.000812,0.000812
32,1851.12,1.08795,0.61789,0.82198,0.95143,0.84766,0.89202,0.65349,0.94468,0.5521,0.8031,0.0007724,0.0007724,0.0007724
33,1890.18,1.08522,0.59843,0.8144,0.94391,0.85825,0.89597,0.65582,0.93038,0.54761,0.80216,0.0007328,0.0007328,0.0007328
34,1930.05,1.05845,0.59482,0.81899,0.94965,0.84235,0.88718,0.6495,0.93818,0.55092,0.80306,0.0006932,0.0006932,0.0006932
35,1968.65,1.07845,0.58361,0.8198,0.95627,0.84492,0.89329,0.65803,0.92511,0.54224,0.80533,0.0006536,0.0006536,0.0006536
36,2006.4,1.01829,0.56794,0.81815,0.92862,0.86463,0.897,0.65607,0.9484,0.55689,0.80432,0.000614,0.000614,0.000614
37,2044.53,1.08554,0.58268,0.81915,0.94754,0.85471,0.89521,0.65067,0.96096,0.54444,0.80485,0.0005744,0.0005744,0.0005744
38,2082.49,1.09319,0.58405,0.82067,0.94707,0.85471,0.8951,0.66318,0.90874,0.53217,0.80242,0.0005348,0.0005348,0.0005348
39,2120.98,1.04957,0.58423,0.82068,0.93685,0.84843,0.88764,0.65693,0.9221,0.52911,0.80194,0.0004952,0.0004952,0.0004952
40,2159.21,1.04593,0.57379,0.81156,0.93477,0.86399,0.89637,0.67006,0.89771,0.52418,0.80204,0.0004556,0.0004556,0.0004556
41,2196.71,0.97502,0.5821,0.81075,0.92547,0.86399,0.88623,0.66237,0.8956,0.52934,0.80232,0.000416,0.000416,0.000416
42,2235.7,0.96258,0.56127,0.80641,0.92609,0.86553,0.89268,0.66388,0.89501,0.53038,0.80019,0.0003764,0.0003764,0.0003764
43,2273.54,0.9428,0.56107,0.81159,0.94256,0.84235,0.89035,0.65993,0.90064,0.53439,0.79814,0.0003368,0.0003368,0.0003368
44,2310.51,0.95106,0.55152,0.8054,0.94583,0.84853,0.89761,0.66017,0.91431,0.5387,0.80295,0.0002972,0.0002972,0.0002972
45,2348.18,0.91373,0.53912,0.80851,0.94753,0.83727,0.89251,0.66431,0.90631,0.53082,0.80567,0.0002576,0.0002576,0.0002576
46,2385.03,0.89527,0.5323,0.80554,0.93979,0.84434,0.89451,0.66722,0.90126,0.52616,0.80523,0.000218,0.000218,0.000218
47,2422.64,0.93932,0.54733,0.80001,0.94115,0.84544,0.89009,0.66423,0.89282,0.52127,0.80386,0.0001784,0.0001784,0.0001784
48,2459.83,0.92803,0.5285,0.80709,0.94451,0.84186,0.89113,0.66497,0.88442,0.51532,0.80216,0.0001388,0.0001388,0.0001388
49,2498.18,0.92841,0.52831,0.79991,0.93824,0.84528,0.88991,0.66616,0.88179,0.51599,0.80158,9.92e-05,9.92e-05,9.92e-05
50,2537.16,0.90075,0.53043,0.81082,0.93969,0.8429,0.88894,0.66734,0.8774,0.5151,0.80157,5.96e-05,5.96e-05,5.96e-05
